User,UserID,Query,TweetID,Created_At,Mention
jessesanchez,13118932,Dodgers,1056294710682169344,2018-10-27 21:20:58,BostonStrong_34
romancota13,614112323,Dodgers,1056294710644363264,2018-10-27 21:20:58,Dodgers
LB2416,2923463192,Dodgers,1056294699219116033,2018-10-27 21:20:55,Dodgers
Adan_Torres19,737845537697763328,Dodgers,1056294698581721088,2018-10-27 21:20:55,bambino_sedano
jesusmtoscano,325206098,Dodgers,1056294695087808514,2018-10-27 21:20:54,VictorMendozaL
Kost_of_Living,536513215,Dodgers,1056294694928302080,2018-10-27 21:20:54,DodgerInsider
AnnahCeee,614827217,Dodgers,1056294694756409344,2018-10-27 21:20:54,nikagamaya
AnnahCeee,614827217,Dodgers,1056294694756409344,2018-10-27 21:20:54,kikehndez
QueenDuck07,16211349,Dodgers,1056294693800235013,2018-10-27 21:20:54,CityOfNewYorkA1
crystalblu01,734577166239825920,Dodgers,1056294691539275776,2018-10-27 21:20:54,Dodgers
GreatGasScam,719780842873167872,Dodgers,1056294688850759680,2018-10-27 21:20:53,MichaelWestBiz
HernndezEduard3,1037861570058104832,Dodgers,1056294669292920832,2018-10-27 21:20:48,Dodgers
jimmyanurak,373864432,Dodgers,1056294666784538624,2018-10-27 21:20:48,BBCWorld
brightlovelive,261453715,Dodgers,1056294664398036992,2018-10-27 21:20:47,DodgerInsider
MeraMartinez4,2328167887,Dodgers,1056294662418325504,2018-10-27 21:20:47,MLBStatoftheDay
MeraMartinez4,2328167887,Dodgers,1056294662418325504,2018-10-27 21:20:47,Dodgers
MeraMartinez4,2328167887,Dodgers,1056294662418325504,2018-10-27 21:20:47,MLB
karinaflorecita,179560447,Dodgers,1056294660430192640,2018-10-27 21:20:46,Dodgers
jordieee08,1002652715061612544,Dodgers,1056294657749962753,2018-10-27 21:20:46,Dodgers
jordieee08,1002652715061612544,Dodgers,1056294657749962753,2018-10-27 21:20:46,RedSox
wrikent3500,15827727,Dodgers,1056294657028771845,2018-10-27 21:20:45,DaneCook
jess_t_626,2151939824,Dodgers,1056294657007661057,2018-10-27 21:20:45,AzuaI21
FRISCOGALSF4949,973780259832287233,Dodgers,1056294656818860032,2018-10-27 21:20:45,SayHeyGigantes
FRISCOGALSF4949,973780259832287233,Dodgers,1056294656818860032,2018-10-27 21:20:45,MarkRod06721771
lamarrana1916,1492091840,Dodgers,1056294654776360962,2018-10-27 21:20:45,ERAZNOYLACHOKO
BoyleOriginal,1030341675846119424,Dodgers,1056294653539033088,2018-10-27 21:20:45,ReneeD417
BoyleOriginal,1030341675846119424,Dodgers,1056294653539033088,2018-10-27 21:20:45,Dodgers
Boomskie,56195398,Dodgers,1056294653077577728,2018-10-27 21:20:44,longballgirl
Boomskie,56195398,Dodgers,1056294653077577728,2018-10-27 21:20:44,Dodgers
Boomskie,56195398,Dodgers,1056294653077577728,2018-10-27 21:20:44,RedSox
Boomskie,56195398,Dodgers,1056294653077577728,2018-10-27 21:20:44,MLB
Boomskie,56195398,Dodgers,1056294653077577728,2018-10-27 21:20:44,ForbesSports
alejandrovllnv,462996795,Dodgers,1056294651479625730,2018-10-27 21:20:44,EJerezESPN
ayyejoni,2908831525,Dodgers,1056294650732929025,2018-10-27 21:20:44,MLBNetwork
ayyejoni,2908831525,Dodgers,1056294650732929025,2018-10-27 21:20:44,Dodgers
ayyejoni,2908831525,Dodgers,1056294650732929025,2018-10-27 21:20:44,maxmuncy9
bgmoralesss,2269549294,Dodgers,1056294649994735616,2018-10-27 21:20:44,Ernesto_Andaya
bgmoralesss,2269549294,Dodgers,1056294649994735616,2018-10-27 21:20:44,Dodgers
MistaMaxG,3038385427,Dodgers,1056294644969926656,2018-10-27 21:20:43,maxmuncy9
YouTubeTV,803263807489536000,Dodgers,1056294640943616007,2018-10-27 21:20:42,cindyb_1988
YouTubeTV,803263807489536000,Dodgers,1056294640943616007,2018-10-27 21:20:42,Dodgers
YouTubeTV,803263807489536000,Dodgers,1056294640943616007,2018-10-27 21:20:42,RedSox
romancota13,614112323,Dodgers,1056294639748079616,2018-10-27 21:20:41,Dodgers
Cecilia89153361,878761728351375360,Dodgers,1056294635197337600,2018-10-27 21:20:40,Armyunnies
michaelsnarky,703335335237816320,Dodgers,1056294634102517765,2018-10-27 21:20:40,DodgerInsider
b27moore,1376065056,Dodgers,1056294629832683521,2018-10-27 21:20:39,Dodgers
mmoz40,2821659369,Dodgers,1056294625806352384,2018-10-27 21:20:38,VinceSamperio
Amy95474055,848329840864276480,Dodgers,1056294625760096256,2018-10-27 21:20:38,_paul_briggs_
Amy95474055,848329840864276480,Dodgers,1056294625760096256,2018-10-27 21:20:38,maxmuncy9
Amy95474055,848329840864276480,Dodgers,1056294625760096256,2018-10-27 21:20:38,Dodgers
wrikent3500,15827727,Dodgers,1056294622564179968,2018-10-27 21:20:37,RealRonHoward
avrilvk12,1342403124,Dodgers,1056294618055278593,2018-10-27 21:20:36,Jared_Carrabis
EIcP7JE4rS6Su53,1050855360364519424,Dodgers,1056294612984360965,2018-10-27 21:20:35,TheAaronWolf
jennifer_gei,3010771601,Dodgers,1056294603895246848,2018-10-27 21:20:33,23KGibby
jennifer_gei,3010771601,Dodgers,1056294603895246848,2018-10-27 21:20:33,Eck43
jennifer_gei,3010771601,Dodgers,1056294603895246848,2018-10-27 21:20:33,Dodgers
Boneffm,140366375,Dodgers,1056294603673006085,2018-10-27 21:20:33,RNBWCV
BaileyLAKings,205938397,Dodgers,1056294598085996544,2018-10-27 21:20:31,23KGibby
BaileyLAKings,205938397,Dodgers,1056294598085996544,2018-10-27 21:20:31,Eck43
BaileyLAKings,205938397,Dodgers,1056294598085996544,2018-10-27 21:20:31,Dodgers
ShellyS63206798,903892641766617088,Dodgers,1056294595951321088,2018-10-27 21:20:31,28inOnehome
iiSpaceDuck,3231951218,Dodgers,1056294594965454849,2018-10-27 21:20:31,cRUMSS
MeraMartinez4,2328167887,Dodgers,1056294594483081217,2018-10-27 21:20:30,Dodgers
deepwapiti,32633926,Dodgers,1056294592725712897,2018-10-27 21:20:30,ericstephen
deepwapiti,32633926,Dodgers,1056294592725712897,2018-10-27 21:20:30,GrantBrisbee
Cecilia89153361,878761728351375360,Dodgers,1056294590800650242,2018-10-27 21:20:30,BTS_Spain
Dflare25,515940853,Dodgers,1056294590616125440,2018-10-27 21:20:30,Starting9
Josh_Waters97,4673966929,Dodgers,1056294586073604096,2018-10-27 21:20:28,YahooSports
Josh_Waters97,4673966929,Dodgers,1056294586073604096,2018-10-27 21:20:28,Dodgers
Josh_Waters97,4673966929,Dodgers,1056294586073604096,2018-10-27 21:20:28,ClaytonKersh22
charroiverson,1597459843,Dodgers,1056294585662562305,2018-10-27 21:20:28,DOPEITSDOM
TheSuperSavage,1025082764041891842,Dodgers,1056294584572149760,2018-10-27 21:20:28,MLBNetwork
TheSuperSavage,1025082764041891842,Dodgers,1056294584572149760,2018-10-27 21:20:28,Cody_Bellinger
TheSuperSavage,1025082764041891842,Dodgers,1056294584572149760,2018-10-27 21:20:28,Dodgers
