User,UserID,Query,ResultID,ResultCreated_At,RTUser,RTID,RT_created_at,RT_text
Cecil3695Cecil,1531185990,Dodgers,1056294853515116544,2018-10-27 21:21:32,Dodgers,1056288506056560641,2018-10-27 20:56:19,Tonights GM. 4 Dodger lineup vs. Red Sox: Freese 1BMuncy 2BTurner 3BMachado SSBellinger CFPuig RFTaylor LFBarnes CHill P#LADetermined  | #WorldSeries https://t.co/Fy2cyfooKf
DodgerInsider,572325732,Dodgers,1056294832220463104,2018-10-27 21:21:27,Dodgers,1056288506056560641,2018-10-27 20:56:19,Tonights GM. 4 Dodger lineup vs. Red Sox: Freese 1BMuncy 2BTurner 3BMachado SSBellinger CFPuig RFTaylor LFBarnes CHill P#LADetermined  | #WorldSeries https://t.co/Fy2cyfooKf
mikespanj,809125126570528768,Dodgers,1056294831834652672,2018-10-27 21:21:27,Dodgers,1056097127560994816,2018-10-27 08:15:51,Damage done. #LADetermined https://t.co/3SxbBAGhCX
robiie96,2584349461,Dodgers,1056294830307926017,2018-10-27 21:21:27,Dodgers,1056288506056560641,2018-10-27 20:56:19,Tonights GM. 4 Dodger lineup vs. Red Sox: Freese 1BMuncy 2BTurner 3BMachado SSBellinger CFPuig RFTaylor LFBarnes CHill P#LADetermined  | #WorldSeries https://t.co/Fy2cyfooKf
Avxly,836009867139670016,Dodgers,1056294824997879808,2018-10-27 21:21:25,Dodgers,1056288506056560641,2018-10-27 20:56:19,Tonights GM. 4 Dodger lineup vs. Red Sox: Freese 1BMuncy 2BTurner 3BMachado SSBellinger CFPuig RFTaylor LFBarnes CHill P#LADetermined  | #WorldSeries https://t.co/Fy2cyfooKf
bplucia1,2322719954,Dodgers,1056294822934470658,2018-10-27 21:21:25,voguemagazine,1056287531363373056,2018-10-27 20:52:27,Harry Styless Halloween costume was a spot-on imitation of Elton Johns iconic sparkle-covered Dodgers uniform which he originally wore in 1975. https://t.co/QzUHkAf2Ax
ShelbyK46871993,976436639185678336,Dodgers,1056294821760040960,2018-10-27 21:21:25,TheHSUpdate,1056158589172244480,2018-10-27 12:20:04,Harry celebrating the dodgers last night 10/26 (via lilysawtheboys) https://t.co/3oNIBwibW0
joshrome15,2769426776,Dodgers,1056294816051421184,2018-10-27 21:21:23,DodgerInsider,1056279144437178368,2018-10-27 20:19:07,Dodgers list Kershaw as the Game 5 starter. Still no Game 4 starter confirmed yet. https://t.co/VHlQnkt5e0
_claross,2352708402,Dodgers,1056294813090246656,2018-10-27 21:21:23,LaDodgersTalk,1056199742617780226,2018-10-27 15:03:36,This was my favorite moment of the night https://t.co/QUukqB2k0m
Pyburn7,410225874,Dodgers,1056294803976151045,2018-10-27 21:21:20,Dodgers,1056288506056560641,2018-10-27 20:56:19,Tonights GM. 4 Dodger lineup vs. Red Sox: Freese 1BMuncy 2BTurner 3BMachado SSBellinger CFPuig RFTaylor LFBarnes CHill P#LADetermined  | #WorldSeries https://t.co/Fy2cyfooKf
Paul94065442,1033320198831390720,Dodgers,1056294800104849409,2018-10-27 21:21:20,KISSOnline,1055973949522227200,2018-10-27 00:06:23,Lick It Up! Hey @YasielPuig looks like you learned from the best  @genesimmons #WorldSeries #Dodgers https://t.co/p8kBj8Ulfg
NikkiAcosta86,4502575994,Dodgers,1056294799941091329,2018-10-27 21:21:19,MLBNetwork,1056206637348806656,2018-10-27 15:31:00,You werent dreaming @Dodgers fans!Relive @maxmuncy9s 18th inning walk-off blast via #BallparkCam! https://t.co/kbbtTEVJ14
QueenDuck07,16211349,Dodgers,1056294793817526274,2018-10-27 21:21:18,ArashMarkazi,1056087425947029504,2018-10-27 07:37:18,The #Dodgers beat the #RedSox on a walk-off home run by Max Muncy to win the longest #WorldSeries game ever played. https://t.co/5NCAlpmVys
amanda522,27494415,Dodgers,1056294786930487301,2018-10-27 21:21:16,amanda522,1056285466134265856,2018-10-27 20:44:14,#Dodgers fans are you guys up for a little game of Superlatives of the team?
dasertine,61079268,Dodgers,1056294786657771520,2018-10-27 21:21:16,dasertine,990043864521097216,2018-04-28 01:43:46,@Dodgers Rick Monday keeping it real... https://t.co/UXi8N7g6Tx
AnnetteOrr12,4325329402,Dodgers,1056294774645366784,2018-10-27 21:21:13,CullerSports,1056250541918044165,2018-10-27 18:25:28,Game 4 coming at ya. #DoDamage #RedSox #Dodgers #WorldSeries https://t.co/gqiDpOaAjx
killasugah,967640807179243520,Dodgers,1056294766177144834,2018-10-27 21:21:11,Tuff_Overlord,1056238319246295040,2018-10-27 17:36:53,My Friend: Are you ready for the #Dodgers game tonight!?Me: https://t.co/PL21GbZBO4
elizabeth19734,2388339114,Dodgers,1056294765803667456,2018-10-27 21:21:11,Dodgers,1056247564985688064,2018-10-27 18:13:38,Max Muncy delivers in the 18th! #TipoftheCap https://t.co/5By12Jc9ZB
ColinJacobss,2318306216,Dodgers,1056294758845272065,2018-10-27 21:21:10,Dodgers,1056097127560994816,2018-10-27 08:15:51,Damage done. #LADetermined https://t.co/3SxbBAGhCX
WildBillBasebal,901503886036357121,Dodgers,1056294752407117825,2018-10-27 21:21:08,Dodgers,1056095667993505792,2018-10-27 08:10:03,Its only weird if it doesnt work. #WorldSeries https://t.co/WRep9UiQck
brenborden,17157219,Dodgers,1056294749815087106,2018-10-27 21:21:08,TwitterMoments,1056087128499662848,2018-10-27 07:36:07,FINALLY! In what became baseballs longest postseason game in history the Dodgers came out victorious and cut Bostons World Series lead to 2-1. Game 4 is less than 24 hours away.https://t.co/WPdPF0RSpM
JesusGtz_0730,760240462057709568,Dodgers,1056294745201209346,2018-10-27 21:21:06,SoyReferee,1056046081509900288,2018-10-27 04:53:00,Lo de Cody Bellinger es irreal tiene una bazuca en el brazo  #Dodgershttps://t.co/kqf1ewft9q
OCRegSports,28429659,Dodgers,1056294742177177600,2018-10-27 21:21:06,billplunkettocr,1056290415962255361,2018-10-27 21:03:54,#Dodgers Dave Roberts on his energy after long night: Im three cups deep. Im good.#CaffeineYourFriend #WorldSeries
Xitlallilara13,611991003,Dodgers,1056294738431639552,2018-10-27 21:21:05,Dodgers,1056288506056560641,2018-10-27 20:56:19,Tonights GM. 4 Dodger lineup vs. Red Sox: Freese 1BMuncy 2BTurner 3BMachado SSBellinger CFPuig RFTaylor LFBarnes CHill P#LADetermined  | #WorldSeries https://t.co/Fy2cyfooKf
BCarlin22,459802045,Dodgers,1056294736519061504,2018-10-27 21:21:04,Dodgers,1056086322027216896,2018-10-27 07:32:54,#DodgersWIN!FINAL (18): #Dodgers 3 Red Sox 2 https://t.co/o5kUdwIGPc
Michael_Rokicki,47493646,Dodgers,1056294721075666944,2018-10-27 21:21:01,ByCharlieRicker,1056294129301372930,2018-10-27 21:18:40,You know youve made it big when @BillNye is applauding your work.......#Dodgers #RedSox #WorldSeries https://t.co/sSFQONLcI7
QueenDuck07,16211349,Dodgers,1056294720274661376,2018-10-27 21:21:00,MlbStream,1056014865892921344,2018-10-27 02:48:58,Red Sox vs Dodgers LiveWorld Series Live StreamMLB Live StreamBoston Red Sox -Los Angeles DodgersLive updates: Will the Dodgers recover from a 2-0 series deficit as the teams arrive in California? Join David Lengel for the latest news.Dodgers vs Red Sox Live @MlbStream https://t.co/fh7wzhGX0j
LB2416,2923463192,Dodgers,1056294699219116033,2018-10-27 21:20:55,Dodgers,1056288506056560641,2018-10-27 20:56:19,Tonights GM. 4 Dodger lineup vs. Red Sox: Freese 1BMuncy 2BTurner 3BMachado SSBellinger CFPuig RFTaylor LFBarnes CHill P#LADetermined  | #WorldSeries https://t.co/Fy2cyfooKf
Adan_Torres19,737845537697763328,Dodgers,1056294698581721088,2018-10-27 21:20:55,bambino_sedano,1056268382092357635,2018-10-27 19:36:21,Datos del juego tres de la #SerieMundial  7:20 duracion 18 innings 34 ponches 18 pitchers 561 lanzamientos 46 jugadores 118 turnos al bat 53 114 fanaticoshttps://t.co/AAnQ3ITTUn
jesusmtoscano,325206098,Dodgers,1056294695087808514,2018-10-27 21:20:54,VictorMendozaL,1056276638349123585,2018-10-27 20:09:09,Quien da mas ... quien da mas... por la pelota del cuadrangular con que ganaron los Dodgers el dia de ayer. https://t.co/FCWIr0myly
Kost_of_Living,536513215,Dodgers,1056294694928302080,2018-10-27 21:20:54,DodgerInsider,1056279144437178368,2018-10-27 20:19:07,Dodgers list Kershaw as the Game 5 starter. Still no Game 4 starter confirmed yet. https://t.co/VHlQnkt5e0
AnnahCeee,614827217,Dodgers,1056294694756409344,2018-10-27 21:20:54,nikagamaya,1056158609506213888,2018-10-27 12:20:09,@kikehndez Being a die hard Astros fan. You guys played an awesome game. Now lets get the rest of those wins! LA #Dodgers deserve this WS Championship!! BEAT THE RED SOX!!
